grid_x,grid_y,state,batch_id,timestamp,data,seed_type
1,0,planted,CV_20260109_1314,2026-01-09 13:14:13,"4.246,1.927",
2,0,planted,PLANT_20260109_1350,2026-01-09 13:50:42,"6.000,2.000",Wheat
0,0,planted,PLANT_20260109_1307,2026-01-09 13:07:48,"2.000,2.000",Wheat
2,1,planted,CV_20260109_1313,2026-01-09 13:13:19,"5.871,-0.339",
0,1,planted,CV_20260109_1309,2026-01-09 13:09:15,"1.993,0.139",
1,1,checked,MANUAL,2026-01-09 13:12:32,,
1,2,planted,CV_20260109_1325,2026-01-09 13:25:41,"3.844,-1.746",
2,2,checked,MANUAL,2026-01-09 13:14:09,,
0,2,planted,CV_20260109_1321,2026-01-09 13:21:08,"1.970,-1.785",
